Species,Project,Run,Recovery Site,CU Index (Recovery Site),CU Name (Recovery Site),Waterbody ID (Recovery Site),Latitude (Recovery Site),Longitude (Recovery Site),Recovery Year,Sex/Maturity,01Used For Broodstock,02Loaded Into Spawning Channel,03Given To First Nations (FSC),04Excess To Spawning Req (ESSR),05Sold,06Holding Mortalities,07Used For Other Purposes/Other Mortalities,08Est Of First Nations Fishery (FSC),09Est Of Sport Fishery,10Captive Used For Broodstock,21Sampled For Marks And Released Above Fence,21Sampled For Marks And Released Below Fence,21Sampled For Marks And Released Total River,22Counted But Not Sampled Above Fence,22Counted But Not Sampled Below Fence,22Counted But Not Sampled Total River,23Additional Hatchery Estimate Above Fence,23Additional Hatchery Estimate Below Fence,23Additional Hatchery Estimate Total River,24Dead Pitch - Usable Count Above Fence,24Dead Pitch - Usable Count Below Fence,24Dead Pitch - Usable Count Total River,29StAD Estimate Above Fence,29StAD Estimate Below Fence,29StAD Estimate Total River
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1984,Female,17,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1986,Male,15,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1986,Female,23,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1991,Unsexed Adult,,,,,,,,,,,,,,,,,,,1200,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1991,Male,46,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1991,Female,50,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1991,Jack,12,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1992,Unsexed Adult,,,,,,,,,,,,,,,,,,,2500,,,,,,2500
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1992,Male,105,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1992,Female,38,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1992,Jack,5,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1993,Unsexed Adult,,,,,,,,,,,,,,,,,,,,,,,,,2100
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1993,Male,88,,,,,,79,,,,,,80,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1993,Female,63,,,,,,64,,,,,,6,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1993,Jack,,,,,,,1,,,,,,2,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1994,Unsexed Adult,,,,,,,,,,,,,,,,,,,1000,,,,,,800
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1994,Male,58,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1994,Female,65,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1994,Jack,3,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1996,Unsexed Adult,,,,,,,,,,,,,,,,,,,192,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1996,Male,55,,,24,,,13,,,,,,,,,160,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1996,Female,24,,,,,,7,,,,,,,,,18,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1996,Jack,,,,3,,,10,,,,,,,,,55,,,207,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1997,Unsexed Adult,,,,,,,,,,,,,,,,150,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1997,Male,75,,,21,,,69,,,,,,,,,539,,,675,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1997,Female,85,,,,,,49,,,,,,,,,22,,,64,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1997,Jack,,,,,,,,,,,,,,,,33,,,18,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1998,Male,61,,,,,,5,,,,,,,,,,,,937,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1998,Female,113,,,,,,7,,,,,,,,,,,,1294,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1998,Jack,,,,,,,1,,,,,,,,,,,,17,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1999,Unsexed Adult,,,,,,,,,,,,,,,,,,,570,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1999,Male,51,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1999,Female,146,,,,,,,,,,,,,,,,,,,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,1999,Jack,,,,,,,,,,,,,,,,,,,42,,,,,,
Chinook,Nitinat R,Fall,Sarita R,CK-31,WEST VANCOUVER ISLAND-SOUTH_FA_0.x,317445,48.897885,-125.009096,2000,Unsexed Adult,126,,,,,,,,,,,,,,,,,,,,,,,,480
