LabelId,StatusCode,Status,PlacementCode,Placement,Species,HeadConditionCode,HeadCondition,TagConditionCode,TagCondition,CutTypeQualityCode,CutTypeQualityName,TagCode,TagTypeCode,TagType,SequenceNumber,HeadLength,LostFound,LabAssigned,ContainerId,BatchId,ProjectName,Comments,RecoveryYear,OtolithId,ConfirmDate,DnaCode,FieldLabelCode,UpdateDate,UpdateUser,CreateDate,CreateUser,ContractYear,FisheryID,FisheryName,MrpImported
1461901,2,No tag,X,Not Checked,Chinook,0,Not Checked,X,Not Checked,1,Good-Head,No Tag,,,,,N,N,CL-25236,8490,2024 Nitinat R Hatchery HFN ESSR Harvest Sarita R Chinook Fall,",[],[]",2024,J-OTO-3705,,,,,,2024-11-12 8:58:36 AM -08:00,ENT\WENDLINGK,2024,8,Escapement,Yes
1461902,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,186476,12,Standard Alphanumeric,,,N,N,CL-25224,8490,2024 Nitinat R Hatchery HFN ESSR Harvest Sarita R Chinook Fall,",[],[]",2024,,,,,,,2024-11-04 8:40:04 AM -08:00,ENT\DengS,2024,8,Escapement,Yes
1461903,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,186475,12,Standard Alphanumeric,,,N,N,CL-25224,8490,2024 Nitinat R Hatchery HFN ESSR Harvest Sarita R Chinook Fall,",[],[]",2024,,,,,,,2024-11-04 8:38:50 AM -08:00,ENT\DengS,2024,8,Escapement,Yes
1461904,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,186499,12,Standard Alphanumeric,,,N,N,CL-25236,8490,2024 Nitinat R Hatchery HFN ESSR Harvest Sarita R Chinook Fall,",[],[]",2024,,,,,,,2024-11-12 8:38:10 AM -08:00,ENT\WENDLINGK,2024,8,Escapement,Yes
1461905,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,186477,12,Standard Alphanumeric,,,N,N,CL-25224,8490,2024 Nitinat R Hatchery HFN ESSR Harvest Sarita R Chinook Fall,",[],[]",2024,,,,,,,2024-11-01 10:29:32 AM -07:00,ENT\JuanM,2024,8,Escapement,Yes
1461906,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,186509,12,Standard Alphanumeric,,,N,N,CL-25224,8490,2024 Nitinat R Hatchery HFN ESSR Harvest Sarita R Chinook Fall,",[],[]",2024,,,,,,,2024-11-04 8:38:25 AM -08:00,ENT\DengS,2024,8,Escapement,Yes
1461907,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,186475,12,Standard Alphanumeric,,,N,N,CL-25236,8490,2024 Nitinat R Hatchery HFN ESSR Harvest Sarita R Chinook Fall,",[],[]",2024,,,,,,,2024-11-12 8:36:48 AM -08:00,ENT\WENDLINGK,2024,8,Escapement,Yes
1461908,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,186476,12,Standard Alphanumeric,,,N,N,CL-25224,8490,2024 Nitinat R Hatchery HFN ESSR Harvest Sarita R Chinook Fall,",[],[]",2024,,,,,,,2024-11-04 8:39:47 AM -08:00,ENT\DengS,2024,8,Escapement,Yes
1461909,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,186512,12,Standard Alphanumeric,,,N,N,CL-25227,8490,2024 Nitinat R Hatchery HFN ESSR Harvest Sarita R Chinook Fall,",[],[]",2024,,,,,,,2024-10-31 1:58:41 PM -07:00,ENT\JuanM,2024,8,Escapement,Yes
1461910,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184967,12,Standard Alphanumeric,,,N,N,CL-25236,8490,2024 Nitinat R Hatchery HFN ESSR Harvest Sarita R Chinook Fall,",[],[]",2024,,,,,,,2024-11-12 8:35:48 AM -08:00,ENT\WENDLINGK,2024,8,Escapement,Yes
