LabelId,StatusCode,Status,PlacementCode,Placement,Species,HeadConditionCode,HeadCondition,TagConditionCode,TagCondition,CutTypeQualityCode,CutTypeQualityName,TagCode,TagTypeCode,TagType,SequenceNumber,HeadLength,LostFound,LabAssigned,ContainerId,BatchId,ProjectName,Comments,RecoveryYear,OtolithId,ConfirmDate,DnaCode,FieldLabelCode,UpdateDate,UpdateUser,CreateDate,CreateUser,ContractYear,FisheryID,FisheryName,MrpImported
1474301,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184965,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 10:29:43 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474302,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184965,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 10:29:08 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474303,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184967,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 10:38:28 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474304,2,No tag,X,Not Checked,Chinook,0,Not Checked,X,Not Checked,1,Good-Head,No Tag,,,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,"No otoliths taken as otolith cavity was already open and no otoliths were present. ,[21-11-26 10:42:22.227540 -08:00],[ENT\GAGNONJULI]",2021,,,,,,,2021-11-26 10:42:23 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474305,1,Tag read OK,S,Skin,Chinook,0,Not Checked,MS,Mechanical Scratch,1,Good-Head,184965,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 10:28:27 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474306,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184965,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 10:29:33 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474307,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,184966,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 10:32:50 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474308,2,No tag,X,Not Checked,Chinook,0,Not Checked,X,Not Checked,1,Good-Head,No Tag,,,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,"No otoliths taken as otolith cavity was already open and no otoliths were present. ,[21-11-26 10:42:49.207576 -08:00],[ENT\GAGNONJULI]",2021,,,,,,,2021-11-26 10:42:54 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474309,1,Tag read OK,S,Skin,Chinook,0,Not Checked,N,Normal,1,Good-Head,184967,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 10:37:37 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474310,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,184964,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 10:25:13 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474311,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,184967,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 10:37:50 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474312,2,No tag,X,Not Checked,Chinook,0,Not Checked,X,Not Checked,1,Good-Head,No Tag,,,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,"No otoliths taken as otolith cavity was already open and no otoliths were present. ,[21-11-26 10:42:05.291076 -08:00],[ENT\GAGNONJULI]",2021,,,,,,,2021-11-26 10:47:08 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474313,1,Tag read OK,N,Nares,Chinook,0,Not Checked,MS,Mechanical Scratch,1,Good-Head,184964,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,2021-11-26 10:23:47 AM -08:00,ENT\GAGNONJULI,2021-11-26 10:23:41 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474314,2,No tag,0,Normal,Chinook,0,Not Checked,X,Not Checked,1,Good-Head,No Tag,,,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,"No otoliths taken as otolith cavity was already open and no otoliths were present. ,[21-11-26 10:41:42.645957 -08:00],[ENT\GAGNONJULI]",2021,,,,,,,2021-11-26 10:41:43 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474315,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,185291,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 9:53:22 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474316,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185884,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 9:38:17 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474317,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185290,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,"Reread request- JOT QCR- tag read incorrectly- change 18 52 96 to 18 52 90,[21-11-26 09:58:00.954595 -08:00],[ENT\GAGNONJULI]",2021,,2021-11-26 5:57:09 PM +00:00,,,2021-11-26 9:58:04 AM -08:00,ENT\GAGNONJULI,2021-11-26 9:52:57 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
1474318,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185883,12,Standard Alphanumeric,,,N,N,CL-17695,7641,2021 Nitinat R Hatchery HFN ESSR Fishery Sarita R Chinook Fall,",[],[]",2021,,,,,,,2021-11-26 9:35:02 AM -08:00,ENT\GAGNONJULI,2021,8,Escapement,Yes
