LabelId,StatusCode,Status,PlacementCode,Placement,Species,HeadConditionCode,HeadCondition,TagConditionCode,TagCondition,CutTypeQualityCode,CutTypeQualityName,TagCode,TagTypeCode,TagType,SequenceNumber,HeadLength,LostFound,LabAssigned,ContainerId,BatchId,ProjectName,Comments,RecoveryYear,OtolithId,ConfirmDate,DnaCode,FieldLabelCode,UpdateDate,UpdateUser,CreateDate,CreateUser,ContractYear,FisheryID,FisheryName,MrpImported
1461707,2,No tag,X,Not Checked,Chinook,0,Not Checked,X,Not Checked,1,Good-Head,No Tag,,,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 1:54:10 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461708,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185885,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:34:30 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461709,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185291,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:44:17 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461710,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185886,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:50:09 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461711,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185886,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:50:26 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461712,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185886,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:49:41 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461713,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185886,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:49:55 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461714,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,185289,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 1:56:24 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461715,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185884,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:39:46 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461716,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,185885,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:34:49 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461717,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185289,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 1:56:07 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461718,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185288,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:40:56 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461719,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185289,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 1:56:45 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461720,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,184964,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:38:15 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1461721,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,185290,12,Standard Alphanumeric,,,N,N,CL-20464,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 1:55:52 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563351,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185884,12,Standard Alphanumeric,,,N,N,CL-20462,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-21 8:18:04 AM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563352,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184967,12,Standard Alphanumeric,,,N,N,CL-20463,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 3:47:32 PM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563353,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185886,12,Standard Alphanumeric,,,N,N,CL-20463,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-21 8:20:22 AM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563354,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,184965,12,Standard Alphanumeric,,,N,N,CL-20462,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 3:49:01 PM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563355,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185884,12,Standard Alphanumeric,,,N,N,CL-20395,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-21 8:57:26 AM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563356,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185886,12,Standard Alphanumeric,,,N,N,CL-20398,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:51:01 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563357,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185289,12,Standard Alphanumeric,,,N,N,CL-20463,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-21 8:17:03 AM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563358,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185883,12,Standard Alphanumeric,,,N,N,CL-20395,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-21 8:55:01 AM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563359,2,No tag,X,Not Checked,Chinook,0,Not Checked,X,Not Checked,1,Good-Head,No Tag,,,,,N,N,CL-20463,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,J-OTO-2956,,,,,,2022-12-21 8:22:12 AM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563360,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,185883,12,Standard Alphanumeric,,,N,N,CL-20399,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:37:11 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563361,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185886,12,Standard Alphanumeric,,,N,N,CL-20398,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:51:15 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563362,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184966,12,Standard Alphanumeric,,,N,N,CL-20399,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 1:58:28 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563363,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,185288,12,Standard Alphanumeric,,,N,N,CL-20462,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 3:43:55 PM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563364,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184966,12,Standard Alphanumeric,,,N,N,CL-20462,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-21 8:18:46 AM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563365,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,185884,12,Standard Alphanumeric,,,N,N,CL-20463,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 3:47:13 PM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563366,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185288,12,Standard Alphanumeric,,,N,N,CL-20395,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-21 8:46:59 AM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563367,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,185885,12,Standard Alphanumeric,,,N,N,CL-20395,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-21 8:56:31 AM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563368,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Snout,184964,12,Standard Alphanumeric,,,N,N,CL-20395,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-21 8:52:48 AM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563369,1,Tag read OK,N,Nares,Chinook,0,Not Checked,N,Normal,1,Good-Head,184967,12,Standard Alphanumeric,,,N,N,CL-20462,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 3:43:34 PM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563370,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,185884,12,Standard Alphanumeric,,,N,N,CL-20399,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:40:13 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563371,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184965,12,Standard Alphanumeric,,,N,N,CL-20398,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:01:26 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563372,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184965,12,Standard Alphanumeric,,,N,N,CL-20398,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 2:01:40 PM -08:00,ENT\FONGE,2022,8,Escapement,Yes
1563373,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,184966,12,Standard Alphanumeric,,,N,N,CL-20462,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 3:45:15 PM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
1563374,1,Tag read OK,0,Normal,Chinook,0,Not Checked,N,Normal,1,Good-Head,186475,12,Standard Alphanumeric,,,N,N,CL-20463,7951,2022 Nitinat R Hatchery ESSR Fishery Sarita R Chinook Fall,",[],[]",2022,,,,,,,2022-12-19 3:44:57 PM -08:00,ENT\DENNISONM,2022,8,Escapement,Yes
