LabelId,StatusCode,Status,PlacementCode,Placement,Species,HeadConditionCode,HeadCondition,TagConditionCode,TagCondition,CutTypeQualityCode,CutTypeQualityName,TagCode,TagTypeCode,TagType,SequenceNumber,HeadLength,LostFound,LabAssigned,ContainerId,BatchId,ProjectName,Comments,RecoveryYear,OtolithId,ConfirmDate,DnaCode,FieldLabelCode,UpdateDate,UpdateUser,CreateDate,CreateUser,ContractYear,FisheryID,FisheryName,MrpImported
1480001,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,184964,12,Standard Alphanumeric,,,N,N,CL-20148,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2896,,,,,,2022-10-03 10:02:38 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480002,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,184965,12,Standard Alphanumeric,,,N,N,CL-18281,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,"No otoliths taken. Oto cavity had been cut into in the field.,[22-09-29 11:39:18.771433 -07:00],[ENT\JuanM]",2022,,,,,,,2022-09-29 11:39:40 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480003,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,184964,12,Standard Alphanumeric,,,N,N,CL-20148,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2899,,,,,,2022-10-03 10:00:17 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480004,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,184967,12,Standard Alphanumeric,,,N,N,CL-20148,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2890,,,,,,2022-10-03 9:59:47 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480005,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,185289,12,Standard Alphanumeric,,,N,N,CL-18281,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2826,,,,,,2022-09-29 11:57:31 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480006,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,185289,12,Standard Alphanumeric,,,N,N,CL-20148,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,"No otolith taken. Bad cut, oto cavity removed,[22-10-03 09:46:27.000944 -07:00],[ENT\JuanM]",2022,,,,,,,2022-10-03 9:46:28 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480007,1,Tag read OK,N,Nares,Chinook,1,Good,N,Normal,1,Good-Head,184966,12,Standard Alphanumeric,,,N,N,CL-18281,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2828,,,,,,2022-09-29 11:57:09 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480008,1,Tag read OK,N,Nares,Chinook,1,Good,N,Normal,1,Good-Head,184965,12,Standard Alphanumeric,,,N,N,CL-20148,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2889,,,,,,2022-10-03 10:00:38 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480009,1,Tag read OK,N,Nares,Chinook,1,Good,N,Normal,1,Good-Head,185884,12,Standard Alphanumeric,,,N,N,CL-18281,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2827,,,,,,2022-09-29 12:59:21 PM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480010,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,185883,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,"No otoliths taken. Oto cavity had been cut into in the field.,[22-09-29 11:42:03.967903 -07:00],[ENT\JuanM]",2022,,,,,,,2022-09-29 11:42:05 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480011,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,184966,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2842,,,,,,2022-09-29 11:50:11 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480012,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,186475,12,Standard Alphanumeric,,,N,N,CL-20148,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2892,,,,,,2022-10-03 10:03:49 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480013,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,184966,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2837,,,,,,2022-09-29 11:52:41 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480014,1,Tag read OK,N,Nares,Chinook,1,Good,N,Normal,1,Good-Head,185290,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2843,,,,,,2022-09-29 11:49:45 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480015,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,184964,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,"No otoliths taken. Oto cavity had been cut into in the field.,[22-09-29 11:41:36.424396 -07:00],[ENT\JuanM]",2022,,,,,,,2022-09-29 11:41:38 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480016,1,Tag read OK,0,Normal,Chinook,1,Good,MS,Mechanical Scratch,1,Good-Head,184967,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2838,,,,,,2022-09-29 11:52:18 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480017,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,185884,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2845,,,,,,2022-09-29 11:48:56 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480018,1,Tag read OK,N,Nares,Chinook,1,Good,N,Normal,1,Good-Head,184967,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2841,,,,,,2022-09-29 11:51:02 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480019,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,184967,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2839,,,,,,2022-09-29 11:51:45 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480020,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,184965,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,"No otoliths taken. Oto cavity had been cut, and otos taken out in the field.,[22-09-29 11:44:14.642330 -07:00],[ENT\JuanM]",2022,,,,,,,2022-09-29 11:44:17 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480021,1,Tag read OK,0,Normal,Chinook,1,Good,N,Normal,1,Good-Head,185288,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2848,,,,,,2022-09-29 11:47:52 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
1480022,1,Tag read OK,N,Nares,Chinook,1,Good,N,Normal,1,Good-Head,184964,12,Standard Alphanumeric,,,N,N,CL-18282,7887,2022 Huu-ay-aht Sarita ESSR FN Chinook ,",[],[]",2022,J-OTO-2847,,,,,,2022-09-29 11:48:14 AM -07:00,ENT\JuanM,2022,3,First Nations - Unspecified,Yes
