,brood,age,preterminal_er,terminal_er
1,1973,2,0.048627635,0.390948582
2,1974,2,0.014112072,0.166697197
3,1975,2,0.06403569,0.184545786
4,1976,2,0.078808493,0.440737888
5,1977,2,0.082412093,0.142085219
6,1978,2,0.067798522,0.193598467
7,1979,2,0.059700306,0.28450317
8,1980,2,0.07168529,0.280133127
9,1981,2,0.073525265,0.216222199
10,1982,2,0.081173391,0.200452281
11,1983,2,0.191762799,0.031121271
12,1984,2,0.032852917,0.402461954
13,1985,2,0.02489724,0.267289626
14,1986,2,0.023908405,0.355706964
15,1987,2,0.033399051,0.214782587
16,1988,2,0.035620989,0.166264349
17,1989,2,0.044771382,0.099572021
18,1990,2,0.092095342,0.012892826
19,1991,2,0.0709152,0.043475273
20,1992,2,0.144073491,0
21,1993,2,0.034600914,0.160726071
22,1994,2,0.01395265,0.030576099
23,1995,2,0.039800439,0.043592499
24,1996,2,0.056299848,0
25,1997,2,0.070917289,0
26,1998,2,0.005889604,0
27,1999,2,0.004190707,0.00240954
28,2000,2,0.014850948,0.03976065
29,2001,2,0.016688814,0.109317788
30,2002,2,0.035725528,0.16371497
31,2003,2,0.037106604,0.319625025
32,2004,2,0.033388131,0.069298024
33,2005,2,0.048224498,0.306058451
34,2006,2,0.026978236,0.059128926
35,2007,2,0.041684127,0.035884173
36,2008,2,0.027113664,0.026669429
37,2009,2,0.047972911,0.070487913
38,2010,2,0.042256911,0.061549392
39,2011,2,0.029116738,0.006888585
40,2012,2,0.027830644,0.034450699
41,2013,2,0.021996129,0.142980163
42,2014,2,0.038653181,0.085987201
43,2015,2,0.037979331,0.083121028
44,2016,2,0.029725364,0.24673635
45,2017,2,0.03817267,0.174514738
46,2018,2,0.02592007,0.161302532
47,2019,2,0.037007603,0.153443184
48,2020,2,0.037456807,0.146415581
49,2021,2,0.016251909,0.049476933
50,1973,3,0.239230219,0.467471278
51,1974,3,0.298583513,0.155391421
52,1975,3,0.269048749,0.428720471
53,1976,3,0.311882997,0.13218882
54,1977,3,0.301181079,0.355788672
55,1978,3,0.242258016,0.566360221
56,1979,3,0.23558425,0.464984586
57,1980,3,0.24740926,0.390373192
58,1981,3,0.209754221,0.747652377
59,1982,3,0.319088885,0.610956189
60,1983,3,0.222532501,0.000322162
61,1984,3,0.111397011,0.306450854
62,1985,3,0.094414592,0.269052938
63,1986,3,0.100016203,0.625934923
64,1987,3,0.137412663,0.339123926
65,1988,3,0.125122451,0.405072426
66,1989,3,0.277812417,0.160263446
67,1990,3,0.143883208,0.356706451
68,1991,3,0.318983995,0.424423876
69,1992,3,0.027906343,0.263266285
70,1993,3,0.055764948,0.030576099
71,1994,3,0.077771527,0.312139451
72,1995,3,0.124599065,0.292422932
73,1996,3,0.106484444,0.533211949
74,1997,3,0.054583388,0
